kith,pulsars,fen-kin,ursines,synaptics,geodes,dorsals,silt_weavers,saprophytes,chimerics
1.0125,112.5,4.0,0.65,1.0,0.06,72.0,4.0,1.0,1.0
101.25,11.520000000000003,4.199999999999999,2.9250000000000003,1.0,0.2,18.0,2.8,0.8,1.4
4.375,9.0,0.0,0.0,1.0,0.2,9.0,8.0,0.6749999999999999,2.0
0.0,5.760000000000002,0.0,0.0,0.0,0.2,9.0,1.4,0.0,0.7
101.25,57.60000000000001,2.8,1.3,1.0,0.2,450.0,2.8,0.8,0.7
202.5,5.760000000000002,0.7,1.0,1.0,0.1,9.0,9.072000000000001,5.0,0.42
202.5,5.760000000000002,0.7,1.0,6.25,0.1,9.0,9.072000000000001,5.0,0.42
22.5,9.0,4.0,1.0,1.0,0.1,9.0,51.84,14.0625,0.6
1.0125,112.5,4.0,0.65,1.0,0.06,72.0,4.0,1.0,1.0
22.5,9.0,4.0,1.0,1.0,0.1,9.0,51.84,14.0625,0.6
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.5,0.6749999999999999,2.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.5,0.6749999999999999,2.0
0.0,1.2800000000000002,0.7,1.3,1.0,0.0,0.0,4.375,0.8,0.7
0.0,2.0,6.0,2.9250000000000003,1.0,0.0,0.0,25.0,2.25,2.0
0.0,0.6400000000000001,0.7,1.0,1.0,0.0,0.0,4.375,0.8,0.7
39.375,5.760000000000002,0.0,0.0,1.0,0.2,9.0,1.4,0.24,0.7
39.375,5.760000000000002,0.0,0.0,1.0,0.2,9.0,1.4,0.24,1.4
0.0,9.0,0.0,0.0,0.0,0.2,9.0,8.0,0.0,1.0
39.375,5.760000000000002,0.0,0.0,1.0,0.2,9.0,1.4,0.24,0.7
6.299999999999999,0.6400000000000001,0.0,0.0,1.0,1.0,1.0,0.35,0.24,0.7
14.174999999999999,0.32000000000000006,0.0,0.0,1.0,0.010000000000000002,1.0,0.13999999999999999,0.24,0.7
14.174999999999999,0.32000000000000006,0.0,0.0,1.0,0.010000000000000002,1.0,0.13999999999999999,0.24,0.7
1.8,0.0,6.0,2.9250000000000003,1.5,16.0,0.0,0.0,4.5,2.0
14.174999999999999,0.32000000000000006,0.0,0.0,1.0,0.010000000000000002,1.0,0.13999999999999999,0.24,0.7
9.0,0.0,0.7,1.0,56.25,64.0,0.0,0.0,1.6,0.0
112.5,5.760000000000002,2.8,1.0,6.25,0.8,9.0,2.8,0.8,0.7
56.25,5.760000000000002,2.8,1.0,56.25,0.8,9.0,2.8,0.8,0.7
39.375,5.760000000000002,0.0,0.0,0.625,0.2,9.0,1.4,0.24,0.7
112.5,5.760000000000002,2.8,1.0,1.0,0.8,9.0,2.8,0.8,0.7
14.174999999999999,0.32000000000000006,0.0,0.0,1.0,0.010000000000000002,1.0,0.13999999999999999,0.24,0.7
56.25,5.760000000000002,2.8,1.0,1.0,0.8,9.0,2.8,0.8,0.7
18.9,0.6400000000000001,0.0,0.0,1.0,1.0,1.0,0.35,0.24,1.4
18.9,0.6400000000000001,0.0,0.0,1.0,1.0,1.0,0.35,0.24,0.7
20.25,0.32000000000000006,0.0,2.25,1.0,0.04000000000000001,1.0,0.27999999999999997,0.8,0.7
6.299999999999999,0.6400000000000001,0.0,0.0,1.0,1.0,1.0,0.35,0.24,0.7
18.9,0.0,0.0,0.0,1.5,16.0,0.0,0.0,0.48,0.7
16.200000000000003,1.2800000000000002,0.7,1.3,1.0,1.0,2.0,0.7,0.8,0.7
0.7,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.6749999999999999,2.0
118.125,28.800000000000004,0.0,0.0,1.0,0.2,225.0,1.4,0.24,0.7
16.200000000000003,1.2800000000000002,0.7,1.3,1.0,1.0,2.0,0.7,0.8,0.7
18.0,0.0,0.7,1.0,1.5,64.0,0.0,0.0,1.6,0.7
16.200000000000003,0.0,0.7,1.3,1.5,16.0,0.0,0.0,1.6,0.7
6.299999999999999,0.0,0.0,0.0,1.5,16.0,0.0,0.0,0.48,1.4
6.299999999999999,0.0,0.0,0.0,1.5,16.0,0.0,0.0,0.48,0.7
6.299999999999999,0.0,0.0,0.0,1.5,16.0,0.0,0.0,0.48,0.7
1.25,0.0,648.0,1.3499999999999999,0.2,0.0,2.6999999999999997,0.0,9.0,18.0
101.25,11.520000000000003,2.8,1.3,1.0,0.2,18.0,2.8,0.8,0.7
4.375,9.0,0.0,0.0,0.5,0.2,9.0,8.0,0.6749999999999999,1.0
0.2,0.0,36.0,0.6,0.4,0.0,0.3,0.0,9.0,225.0
0.0,56.25,0.0,0.0,0.0,0.06,36.0,2.0,0.0,1.0
